gloss,path,word,date,variant,token
BOMBARD202465,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bombard 2024-6-5 Upload/Documentation/SG ASL Bombard 2024-6-5 CC.mp4,bombard,2024-6-5,Documentation,BOMBARD
BRAKEALT202478,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Brake Alt 2024-7-8 Upload/Documentation/SG ASL Brake Alt 2024-7-8 CC.mp4,brakealt,2024-7-8,Documentation,BRAKEALT
BILLIONAIRE2024418,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Billionaire 2024-4-18 Upload/Documentation/SG ASL Billionaire 2024-4-18 CC.mp4,billionaire,2024-4-18,Documentation,BILLIONAIRE
BITTERCOLD2024427,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bitter Cold 2024-4-27 Upload/Documentation/SG ASL Bitter Cold 2024-4-27 CC.mp4,bittercold,2024-4-27,Documentation,BITTERCOLD
BROOKALT,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Brook Alt 2 2024-8-3 Upload/Documentation/SG ASL Brook Alt 2 2024-8-3 CC.mp4,brookalt,2024-8-3,Documentation,BROOKALT
BISHOP,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bishop 2 2024-4-25 Upload/Documentation/SG ASL Bishop 2 2024-4-25 CC.mp4,bishop,2024-4-25,Documentation,BISHOP
BOLIVIA202463,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bolivia 2024-6-3 Upload/Documentation/SG ASL Bolivia 2024-6-3 CC.mp4,bolivia,2024-6-3,Documentation,BOLIVIA
BURNABY,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Burnaby 1 2024-8-29 Upload/Documentation/SG ASL Burnaby 1 2024-8-29 CC.mp4,burnaby,2024-8-29,Documentation,BURNABY
BLOODDRAW,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Blood Draw 2 2024-5-15 Upload/Documentation/SG ASL Blood Draw 2 2024-5-15 CC.mp4,blooddraw,2024-5-15,Documentation,BLOODDRAW
BLENDER202458,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Blender 2024-5-8 Upload/Documentation/SG ASL Blender 2024-5-8 CC.mp4,blender,2024-5-8,Documentation,BLENDER
BUMPFIST2024816,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bump Fist 2024-8-16 Upload/Documentation/SG ASL Bump Fist 2024-8-16 CC.mp4,bumpfist,2024-8-16,Documentation,BUMPFIST
BABBLEMOTIONSPIN20231122,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Babble Motion Spin 2023-11-22 Upload/Documentation/SG ASL Babble Motion Spin 2023-11-22 CC.mp4,babblemotionspin,2023-11-22,Documentation,BABBLEMOTIONSPIN
BEFORE(PAST)202437,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Before (Past) 2024-3-7 Upload/Documentation/SG ASL Before (Past) 2024-3-7 CC.mp4,before,2024-3-7,Documentation,BEFORE
BERATE2024330,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Berate 2024-3-30 Upload/Documentation/SG ASL Berate 2024-3-30 CC.mp4,berate,2024-3-30,Documentation,BERATE
BONFIRE202469,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bonfire 2024-6-9 Upload/Documentation/SG ASL Bonfire 2024-6-9 CC.mp4,bonfire,2024-6-9,Documentation,BONFIRE
BACKPACKING,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Backpacking 1 2023-12-7 Upload/Documentation/SG ASL Backpacking 1 2023-12-7 CC.mp4,backpacking,2023-12-7,Documentation,BACKPACKING
BOTHERSOMEONEEXTENDED2024624,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bother Someone Extended 2024-6-24 Upload/Documentation/SG ASL Bother Someone Extended 2024-6-24 CC.mp4,bothersomeoneextended,2024-6-24,Documentation,BOTHERSOMEONEEXTENDED
BREAKDOWNMENTAL2024715,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Breakdown Mental 2024-7-15 Upload/Documentation/SG ASL Breakdown Mental 2024-7-15 CC.mp4,breakdownmental,2024-7-15,Documentation,BREAKDOWNMENTAL
BATTINGPRACTICE,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Batting Practice 3 2024-2-10 Upload/Documentation/SG ASL Batting Practice 3 2024-2-10 CC.mp4,battingpractice,2024-2-10,Documentation,BATTINGPRACTICE
BOOKLET2024611,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Booklet 2024-6-11 Upload/Documentation/SG ASL Booklet 2024-6-11 CC.mp4,booklet,2024-6-11,Documentation,BOOKLET
BYONESELF,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL By Oneself 1 2024-9-6 Upload/Documentation/SG ASL By Oneself 1 2024-9-6 CC.mp4,byoneself,2024-9-6,Documentation,BYONESELF
BALONEY,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Baloney 2 2023-12-20 Upload/Documentation/SG ASL Baloney 2 2023-12-20 CC.mp4,baloney,2023-12-20,Documentation,BALONEY
BABBLEMOTIONSPIN,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Babble Motion Spin 2 Handed 2 2023-11-21 Upload/Documentation/SG ASL Babble Motion Spin 2 Handed 2 2023-11-21 CC.mp4,babblemotionspin,2023-11-21,Documentation,BABBLEMOTIONSPIN
BAR(RODALT)2024110,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bar (Rod Alt) 2024-1-10 Upload/Documentation/SG ASL Bar (Rod Alt) 2024-1-10 CC.mp4,bar,2024-1-10,Documentation,BAR
BRANCH,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Branch 2 2024-7-9 Upload/Documentation/SG ASL Branch 2 2024-7-9 CC.mp4,branch,2024-7-9,Documentation,BRANCH
BEACH,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Beach 1 2024-2-12 Upload/Documentation/SG ASL Beach 1 2024-2-12 CC.mp4,beach,2024-2-12,Documentation,BEACH
BLACKPERSON2024430,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Black Person 2024-4-30 Upload/Documentation/SG ASL Black Person 2024-4-30 CC.mp4,blackperson,2024-4-30,Documentation,BLACKPERSON
BLACKBOARDALT2024430,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Blackboard Alt 2024-4-30 Upload/Documentation/SG ASL Blackboard Alt 2024-4-30 CC.mp4,blackboardalt,2024-4-30,Documentation,BLACKBOARDALT
BLUSTER2024529,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bluster 2024-5-29 Upload/Documentation/SG ASL Bluster 2024-5-29 CC.mp4,bluster,2024-5-29,Documentation,BLUSTER
BEST,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Best 2 2024-4-3 Upload/Documentation/SG ASL Best 2 2024-4-3 CC.mp4,best,2024-4-3,Documentation,BEST
BREADALT2024714,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bread Alt 2024-7-14 Upload/Documentation/SG ASL Bread Alt 2024-7-14 CC.mp4,breadalt,2024-7-14,Documentation,BREADALT
BEEF(ALT),/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Beef (Alt) 1 2024-3-2 Upload/Documentation/SG ASL Beef (Alt) 1 2024-3-2 CC.mp4,beef,2024-3-2,Documentation,BEEF
BUTTOCKS202494,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Buttocks 2024-9-4 Upload/Documentation/SG ASL Buttocks 2024-9-4 CC.mp4,buttocks,2024-9-4,Documentation,BUTTOCKS
BRAG202477,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Brag 2024-7-7 Upload/Documentation/SG ASL Brag 2024-7-7 CC.mp4,brag,2024-7-7,Documentation,BRAG
BLEND202458,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Blend 2024-5-8 Upload/Documentation/SG ASL Blend 2024-5-8 CC.mp4,blend,2024-5-8,Documentation,BLEND
BACKBITING,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Backbiting 2 2023-12-2 Upload/Documentation/SG ASL Backbiting 2 2023-12-2 CC.mp4,backbiting,2023-12-2,Documentation,BACKBITING
BLAND,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bland 2 2024-5-3 Upload/Documentation/SG ASL Bland 2 2024-5-3 CC.mp4,bland,2024-5-3,Documentation,BLAND
BRACEYOURSELF,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Brace Yourself 1 2024-7-6 Upload/Documentation/SG ASL Brace Yourself 1 2024-7-6 CC.mp4,braceyourself,2024-7-6,Documentation,BRACEYOURSELF
BEAT(MIX)2024221,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Beat (Mix) 2024-2-21 Upload/Documentation/SG ASL Beat (Mix) 2024-2-21 CC.mp4,beat,2024-2-21,Documentation,BEAT
BENDDOWN2024324,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bend Down 2024-3-24 Upload/Documentation/SG ASL Bend Down 2024-3-24 CC.mp4,benddown,2024-3-24,Documentation,BENDDOWN
BYE202497,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bye 2024-9-7 Upload/Documentation/SG ASL Bye 2024-9-7 CC.mp4,bye,2024-9-7,Documentation,BYE
BOAST202461,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Boast 2024-6-1 Upload/Documentation/SG ASL Boast 2024-6-1 CC.mp4,boast,2024-6-1,Documentation,BOAST
BILLOWING(ALT),/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bill Owing (Alt) 1 2024-4-15 Upload/Documentation/SG ASL Bill Owing (Alt) 1 2024-4-15 CC.mp4,billowing,2024-4-15,Documentation,BILLOWING
BLANKALT,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Blank Alt 1 2024-5-4 Upload/Documentation/SG ASL Blank Alt 1 2024-5-4 CC.mp4,blankalt,2024-5-4,Documentation,BLANKALT
BITEALT,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bite Alt 2 2024-4-26 Upload/Documentation/SG ASL Bite Alt 2 2024-4-26 CC.mp4,bitealt,2024-4-26,Documentation,BITEALT
BLUECOLORDEEP2024523,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Blue Color Deep 2024-5-23 Upload/Documentation/SG ASL Blue Color Deep 2024-5-23 CC.mp4,bluecolordeep,2024-5-23,Documentation,BLUECOLORDEEP
BRAMPTON202479,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Brampton 2024-7-9 Upload/Documentation/SG ASL Brampton 2024-7-9 CC.mp4,brampton,2024-7-9,Documentation,BRAMPTON
BLOWBREATH2024520,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Blow Breath 2024-5-20 Upload/Documentation/SG ASL Blow Breath 2024-5-20 CC.mp4,blowbreath,2024-5-20,Documentation,BLOWBREATH
BAND(ALT),/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Band (Alt) 90 Degree 2023-12-24 Upload/Documentation/SG ASL Band (Alt) 90 Degree 2023-12-24 CC.mp4,band,2023-12-24,Documentation,BAND
BALANCE(ALT)20231217,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Balance (Alt) 2023-12-17 Upload/Documentation/SG ASL Balance (Alt) 2023-12-17 CC.mp4,balance,2023-12-17,Documentation,BALANCE
BETRAYEDME202445,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Betrayed Me 2024-4-5 Upload/Documentation/SG ASL Betrayed Me 2024-4-5 CC.mp4,betrayedme,2024-4-5,Documentation,BETRAYEDME
BACKDROP(ALT)2023124,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Backdrop (Alt) 2023-12-4 Upload/Documentation/SG ASL Backdrop (Alt) 2023-12-4 CC.mp4,backdrop,2023-12-4,Documentation,BACKDROP
BEIRUT,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Beirut 1 2024-3-14 Upload/Documentation/SG ASL Beirut 1 2024-3-14 CC.mp4,beirut,2024-3-14,Documentation,BEIRUT
BOND,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bond 2 2024-6-6 Upload/Documentation/SG ASL Bond 2 2024-6-6 CC.mp4,bond,2024-6-6,Documentation,BOND
BADREPUATION(ALT),/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bad Repuation (Alt) 1 2023-12-12 Upload/Documentation/SG ASL Bad Repuation (Alt) 1 2023-12-12 CC.mp4,badrepuation,2023-12-12,Documentation,BADREPUATION
BAFFLE(ALT)20231214,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Baffle (Alt) 2023-12-14 Upload/Documentation/SG ASL Baffle (Alt) 2023-12-14 CC.mp4,baffle,2023-12-14,Documentation,BAFFLE
BALLROOM,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Ballroom 1 2023-12-20 Upload/Documentation/SG ASL Ballroom 1 2023-12-20 CC.mp4,ballroom,2023-12-20,Documentation,BALLROOM
BARN,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Barn 2 2024-1-15 Upload/Documentation/SG ASL Barn 2 2024-1-15 CC.mp4,barn,2024-1-15,Documentation,BARN
BREAST2024724,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Breast 2024-7-24 Upload/Documentation/SG ASL Breast 2024-7-24 CC.mp4,breast,2024-7-24,Documentation,BREAST
BEFORE202439,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Before 2024-3-9 Upload/Documentation/SG ASL Before 2024-3-9 CC.mp4,before,2024-3-9,Documentation,BEFORE
BIGSHOULDERS,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Big Shoulders 2 2024-4-13 Upload/Documentation/SG ASL Big Shoulders 2 2024-4-13 CC.mp4,bigshoulders,2024-4-13,Documentation,BIGSHOULDERS
BLINK,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Blink 2 Handed 2024-5-11 Upload/Documentation/SG ASL Blink 2 Handed 2024-5-11 CC.mp4,blink,2024-5-11,Documentation,BLINK
BLOWUPEXPLOSION2024521,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Blow Up Explosion 2024-5-21 Upload/Documentation/SG ASL Blow Up Explosion 2024-5-21 CC.mp4,blowupexplosion,2024-5-21,Documentation,BLOWUPEXPLOSION
BITTER(DISAPPOINTED)2024426,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bitter (Disappointed) 2024-4-26 Upload/Documentation/SG ASL Bitter (Disappointed) 2024-4-26 CC.mp4,bitter,2024-4-26,Documentation,BITTER
BLIZZARDVARIANT2024513,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Blizzard Variant 2024-5-13 Upload/Documentation/SG ASL Blizzard Variant 2024-5-13 CC.mp4,blizzardvariant,2024-5-13,Documentation,BLIZZARDVARIANT
BEADNECKLACE2024214,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bead Necklace 2024-2-14 Upload/Documentation/SG ASL Bead Necklace 2024-2-14 CC.mp4,beadnecklace,2024-2-14,Documentation,BEADNECKLACE
BANDAGE,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bandage 3 2024-1-1 Upload/Documentation/SG ASL Bandage 3 2024-1-1 CC.mp4,bandage,2024-1-1,Documentation,BANDAGE
BOWSALUTE202472,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bow Salute 2024-7-2 Upload/Documentation/SG ASL Bow Salute 2024-7-2 CC.mp4,bowsalute,2024-7-2,Documentation,BOWSALUTE
BELCH,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Belch 1 2024-3-15 Upload/Documentation/SG ASL Belch 1 2024-3-15 CC.mp4,belch,2024-3-15,Documentation,BELCH
BUSTFEMALE202493,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bust Female 2024-9-3 Upload/Documentation/SG ASL Bust Female 2024-9-3 CC.mp4,bustfemale,2024-9-3,Documentation,BUSTFEMALE
BRITISHCOLUMBIA202481,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL British Columbia 2024-8-1 Upload/Documentation/SG ASL British Columbia 2024-8-1 CC.mp4,britishcolumbia,2024-8-1,Documentation,BRITISHCOLUMBIA
BLAMEVARIANT202452,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Blame Variant 2024-5-2 Upload/Documentation/SG ASL Blame Variant 2024-5-2 CC.mp4,blamevariant,2024-5-2,Documentation,BLAMEVARIANT
BATHINGSUIT(TRUNKS)202423,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bathing suit (Trunks) 2024-2-3 Upload/Documentation/SG ASL Bathing suit (Trunks) 2024-2-3 CC.mp4,bathingsuit,2024-2-3,Documentation,BATHINGSUIT
BOOMTOWN,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Boom Town 1 2024-6-12 Upload/Documentation/SG ASL Boom Town 1 2024-6-12 CC.mp4,boomtown,2024-6-12,Documentation,BOOMTOWN
BUDGET2024813,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Budget 2024-8-13 Upload/Documentation/SG ASL Budget 2024-8-13 CC.mp4,budget,2024-8-13,Documentation,BUDGET
BILLFOLD(VARIANT)2024416,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Billfold (Variant) 2024-4-16 Upload/Documentation/SG ASL Billfold (Variant) 2024-4-16 CC.mp4,billfold,2024-4-16,Documentation,BILLFOLD
BAGUETTE20231216,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Baguette 2023-12-16 Upload/Documentation/SG ASL Baguette 2023-12-16 CC.mp4,baguette,2023-12-16,Documentation,BAGUETTE
BIRTHCERTIFICATE,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Birth Certificate 2 2024-4-24 Upload/Documentation/SG ASL Birth Certificate 2 2024-4-24 CC.mp4,birthcertificate,2024-4-24,Documentation,BIRTHCERTIFICATE
BACKPEDALING,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Backpedaling 1 2023-12-10 Upload/Documentation/SG ASL Backpedaling 1 2023-12-10 CC.mp4,backpedaling,2023-12-10,Documentation,BACKPEDALING
BELIZE,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Belize 2 2024-3-16 Upload/Documentation/SG ASL Belize 2 2024-3-16 CC.mp4,belize,2024-3-16,Documentation,BELIZE
BESIEGE(ALT)202441,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Besiege (Alt) 2024-4-1 Upload/Documentation/SG ASL Besiege (Alt) 2024-4-1 CC.mp4,besiege,2024-4-1,Documentation,BESIEGE
BASHFUL,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bashful 2 2024-1-24 Upload/Documentation/SG ASL Bashful 2 2024-1-24 CC.mp4,bashful,2024-1-24,Documentation,BASHFUL
BROODALT202483,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Brood Alt 2024-8-3 Upload/Documentation/SG ASL Brood Alt 2024-8-3 CC.mp4,broodalt,2024-8-3,Documentation,BROODALT
BELONGTOTHEM,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Belong to them 1 2024-3-18 Upload/Documentation/SG ASL Belong to them 1 2024-3-18 CC.mp4,belongtothem,2024-3-18,Documentation,BELONGTOTHEM
BATMAN,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Batman 1 2024-2-6 Upload/Documentation/SG ASL Batman 1 2024-2-6 CC.mp4,batman,2024-2-6,Documentation,BATMAN
BLACKMARKET,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Black Market 1 2024-4-28 Upload/Documentation/SG ASL Black Market 1 2024-4-28 CC.mp4,blackmarket,2024-4-28,Documentation,BLACKMARKET
BELITTLE,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Belittle 2 2024-3-16 Upload/Documentation/SG ASL Belittle 2 2024-3-16 CC.mp4,belittle,2024-3-16,Documentation,BELITTLE
BARELY,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Barely 2 2024-1-13 Upload/Documentation/SG ASL Barely 2 2024-1-13 CC.mp4,barely,2024-1-13,Documentation,BARELY
BORN2024622,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Born 2024-6-22 Upload/Documentation/SG ASL Born 2024-6-22 CC.mp4,born,2024-6-22,Documentation,BORN
BURLINGTON2024825,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Burlington 2024-8-25 Upload/Documentation/SG ASL Burlington 2024-8-25 CC.mp4,burlington,2024-8-25,Documentation,BURLINGTON
BATHROOM,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bathroom 3 2024-2-4 Upload/Documentation/SG ASL Bathroom 3 2024-2-4 CC.mp4,bathroom,2024-2-4,Documentation,BATHROOM
BEFORE(PASTALT),"/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Before (Past, Alt) 1 2024-3-9 Upload/Documentation/SG ASL Before (Past, Alt) 1 2024-3-9 CC.mp4",before,2024-3-9,Documentation,BEFORE
BENEATH(ALT)2024325,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Beneath (Alt) 2024-3-25 Upload/Documentation/SG ASL Beneath (Alt) 2024-3-25 CC.mp4,beneath,2024-3-25,Documentation,BENEATH
BOARDCOMMITEE2024529,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Board Commitee 2024-5-29 Upload/Documentation/SG ASL Board Commitee 2024-5-29 CC.mp4,boardcommitee,2024-5-29,Documentation,BOARDCOMMITEE
BARRAGE(QUESTION),/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Barrage (Question) 2 2024-1-17 Upload/Documentation/SG ASL Barrage (Question) 2 2024-1-17 CC.mp4,barrage,2024-1-17,Documentation,BARRAGE
BAD20231214,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bad 2023-12-14 Upload/Documentation/SG ASL Bad 2023-12-14 CC.mp4,bad,2023-12-14,Documentation,BAD
BACKGROUND,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Background 2 2023-12-5 Upload/Documentation/SG ASL Background 2 2023-12-5 CC.mp4,background,2023-12-5,Documentation,BACKGROUND
BACON,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bacon 3 2023-12-11 Upload/Documentation/SG ASL Bacon 3 2023-12-11 CC.mp4,bacon,2023-12-11,Documentation,BACON
BLOSSOM2024519,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Blossom 2024-5-19 Upload/Documentation/SG ASL Blossom 2024-5-19 CC.mp4,blossom,2024-5-19,Documentation,BLOSSOM
BYEOTHER202497,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bye Other 2024-9-7 Upload/Documentation/SG ASL Bye Other 2024-9-7 CC.mp4,byeother,2024-9-7,Documentation,BYEOTHER
BACKGROUND(HISTORY),/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Background (History) 2 2023-12-5 Upload/Documentation/SG ASL Background (History) 2 2023-12-5 CC.mp4,background,2023-12-5,Documentation,BACKGROUND
BREEZEALT2024726,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Breeze Alt 2024-7-26 Upload/Documentation/SG ASL Breeze Alt 2024-7-26 CC.mp4,breezealt,2024-7-26,Documentation,BREEZEALT
BUDDHIST2024812,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Buddhist 2024-8-12 Upload/Documentation/SG ASL Buddhist 2024-8-12 CC.mp4,buddhist,2024-8-12,Documentation,BUDDHIST
BURKA2024824,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Burka 2024-8-24 Upload/Documentation/SG ASL Burka 2024-8-24 CC.mp4,burka,2024-8-24,Documentation,BURKA
BREAKUP,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Breakup 2 2024-7-22 Upload/Documentation/SG ASL Breakup 2 2024-7-22 CC.mp4,breakup,2024-7-22,Documentation,BREAKUP
BESTOW202445,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bestow 2024-4-5 Upload/Documentation/SG ASL Bestow 2024-4-5 CC.mp4,bestow,2024-4-5,Documentation,BESTOW
BACK(SPINE)ALT,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Back (Spine) Alt 3 2023-11-30 Upload/Documentation/SG ASL Back (Spine) Alt 3 2023-11-30 CC.mp4,back,2023-11-30,Documentation,BACK
BLOSSOMALT2024519,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Blossom Alt 2024-5-19 Upload/Documentation/SG ASL Blossom Alt 2024-5-19 CC.mp4,blossomalt,2024-5-19,Documentation,BLOSSOMALT
BECAME,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Became 1 2024-2-25 Upload/Documentation/SG ASL Became 1 2024-2-25 CC.mp4,became,2024-2-25,Documentation,BECAME
